species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,island_Dream,island_Torgensen
0,1.1288159372922173,-0.23328668460141846,0.41364587416966603,0.650155916486536,-0.702319064182848,-0.41888261559499446
0,0.8175791586004406,-0.12514053942195263,1.3120394607469736,1.5075819980951795,-0.702319064182848,-0.41888261559499446
0,1.3034121789973605,-0.6658712653192805,0.6555210705558643,0.42206837342516207,-0.702319064182848,-0.41888261559499446
0,-0.040219768037869925,-1.0263584159174997,0.4827530731371512,1.0887858069891783,-0.702319064182848,-0.41888261559499446
0,1.6829692261824536,-0.1972379695415974,-1.0376053041475233,-0.018087186261837213,-0.702319064182848,-0.41888261559499446
0,-0.2148160097430126,-0.593773835199637,-0.450194112923899,0.3290025531793841,-0.702319064182848,-0.41888261559499446
0,1.705742649013559,0.8481747671932373,0.1372170782997252,0.8591725947434473,-0.702319064182848,-0.41888261559499446
0,2.092890837142354,0.8481747671932373,1.3465930602307163,1.387054132530975,-0.702319064182848,-0.41888261559499446
0,1.7361072127883663,0.5237363316548398,2.1758794478405385,1.439689719391292,-0.702319064182848,-0.41888261559499446
0,1.2426830514477452,1.388905493090565,0.7937354684908347,1.2657634323745923,-0.702319064182848,-0.41888261559499446
0,1.925885736380913,-0.7019199803791029,2.417754644226737,1.0010598288886499,-0.702319064182848,-0.41888261559499446
0,1.257865333335149,0.4516389015351963,0.586413871588379,0.9179108583411925,-0.702319064182848,-0.41888261559499446
0,1.4324615750402918,0.37954147141555283,1.6575754555843998,0.8278963764641285,-0.702319064182848,-0.41888261559499446
0,-1.3762605741293983,-0.557725120139816,-1.417694898468692,-1.0707989234681787,-0.702319064182848,-0.41888261559499446
0,-1.3762605741293983,-1.2786994213362526,-0.6575157098263547,-0.8869557867531582,-0.702319064182848,-0.41888261559499446
0,-1.3458960103545907,-0.161189254481775,-0.035550919118987785,-1.1112291568536397,-0.702319064182848,-0.41888261559499446
0,-0.9587478222257957,-0.23328668460141846,-0.7266229087938398,-1.009772156093898,-0.702319064182848,-0.41888261559499446
0,-1.3079403056360814,-0.593773835199637,-0.968498105180038,-0.918232005032477,-0.702319064182848,-0.41888261559499446
0,-0.7613781576895471,-0.3774815448407067,-1.314034100017464,-0.781684613032524,-0.702319064182848,-0.41888261559499446
0,-0.5260527884347892,-0.8821635556782121,0.240877876750953,0.1291398900286149,-0.702319064182848,-0.41888261559499446
0,-0.5184616474910875,2.218025939466468,0.30998507571843825,-0.01045884034005213,-0.702319064182848,-0.41888261559499446
0,-0.4273679561666652,0.6318824768343057,0.8282890679745772,0.4548702608888379,-0.702319064182848,-0.41888261559499446
0,-1.323122587523485,1.7493926436887837,0.41364587416966603,-0.14166639019475555,-0.702319064182848,-0.41888261559499446
0,-0.882836412788777,0.27139532623608703,0.7591818690070921,0.036836904375015384,-0.702319064182848,-0.41888261559499446
0,-1.0194769497754104,-0.1972379695415974,-0.10465811808647299,-0.3277980306863116,-0.702319064182848,-0.41888261559499446
0,-0.6323287616466154,-1.9275762924130462,-1.2449269010499788,-1.4415365352669338,-0.702319064182848,-0.41888261559499446
0,-0.19204258691190723,-0.2693353996612408,-1.3831412989849492,-1.4079718132110794,-0.702319064182848,-0.41888261559499446
0,-0.7993338624080565,-0.8821635556782121,-1.486802097436177,-1.3629645722725474,-0.702319064182848,-0.41888261559499446
0,-0.20722486879931118,-1.531040426755006,-1.141266102598751,-1.3957664597362232,-0.702319064182848,-0.41888261559499446
